capture_month,held_out_encounters,observed_large_percent,logistic_mean_probability_percent
1,709,10.719322990126939,16.375082768581475
2,773,14.100905562742561,15.423834329710692
3,1281,20.140515222482435,16.914517659022792
4,2582,21.26258714175058,17.37526484059955
5,1769,23.063877897117017,21.988889693087994
6,1731,28.365106874638933,29.205118952195164
7,2967,31.614425345466802,33.10931266274636
8,4427,37.29387847300655,37.07305591221592
9,6558,35.788350106739856,33.84276264693162
10,7676,31.61803022407504,30.982751488033138
11,3891,28.501670521716783,26.378710173305848
12,718,13.92757660167131,18.153143326004713
