waterbody,rkm_round,encounters,unique_fish,fork_complete,large_count,median_fork_length,fork_complete_percent,large_share_percent,location
Bowron River,0-10,40,39,40,5,90.5,100.0,12.5,Bowron River | RKM 0-10
Fraser Lake,,19,19,19,4,72.2,100.0,21.052631578947366,Fraser Lake | RKM nan
Fraser River,0-10,890,753,882,186,112.0,99.10112359550561,21.08843537414966,Fraser River | RKM 0-10
Fraser River,10-20,1120,1080,1114,141,103.0,99.46428571428572,12.657091561938957,Fraser River | RKM 10-20
Fraser River,100-110,12746,8773,12685,4286,129.0,99.52141848423035,33.78793851005124,Fraser River | RKM 100-110
Fraser River,1010-1020,1,1,1,1,167.0,100.0,100.0,Fraser River | RKM 1010-1020
Fraser River,1030-1040,4,4,4,1,90.75,100.0,25.0,Fraser River | RKM 1030-1040
Fraser River,1040-1050,3,3,3,1,108.0,100.0,33.33333333333333,Fraser River | RKM 1040-1050
Fraser River,110-120,11188,7747,11152,4296,135.0,99.67822667143368,38.5222381635581,Fraser River | RKM 110-120
Fraser River,1160-1170,2,2,2,1,141.25,100.0,50.0,Fraser River | RKM 1160-1170
Fraser River,120-130,4594,3480,4579,2000,141.0,99.67348715716152,43.67765887748416,Fraser River | RKM 120-130
Fraser River,130-140,2586,1992,2573,1400,156.0,99.49729311678269,54.41119315973572,Fraser River | RKM 130-140
Fraser River,140-150,2584,1839,2582,1792,179.0,99.92260061919505,69.40356312935708,Fraser River | RKM 140-150
Fraser River,150-160,1772,1320,1766,1018,161.0,99.66139954853274,57.644394110985274,Fraser River | RKM 150-160
Fraser River,160-170,3322,2129,3303,1516,142.0,99.42805538832029,45.89766878595217,Fraser River | RKM 160-170
Fraser River,170-180,2858,1839,2848,1069,127.0,99.65010496850944,37.53511235955056,Fraser River | RKM 170-180
Fraser River,180-190,2888,1871,2879,1015,125.0,99.68836565096953,35.2552969781174,Fraser River | RKM 180-190
Fraser River,190-200,48,48,48,28,162.75,100.0,58.333333333333336,Fraser River | RKM 190-200
Fraser River,20-30,5309,4548,5295,456,96.5,99.73629685439819,8.611898016997168,Fraser River | RKM 20-30
Fraser River,200-210,385,309,383,175,135.0,99.48051948051948,45.69190600522193,Fraser River | RKM 200-210
Fraser River,210-220,16,16,15,12,193.0,93.75,80.0,Fraser River | RKM 210-220
Fraser River,220-230,1,1,1,0,95.0,100.0,0.0,Fraser River | RKM 220-230
Fraser River,230-240,12,12,12,1,103.25,100.0,8.333333333333332,Fraser River | RKM 230-240
Fraser River,240-250,55,51,54,5,111.0,98.18181818181819,9.25925925925926,Fraser River | RKM 240-250
Fraser River,250-260,23,23,23,6,120.0,100.0,26.08695652173913,Fraser River | RKM 250-260
Fraser River,260-270,34,34,34,24,171.0,100.0,70.58823529411765,Fraser River | RKM 260-270
Fraser River,270-280,172,156,172,68,124.5,100.0,39.53488372093023,Fraser River | RKM 270-280
Fraser River,280-290,161,142,159,100,167.0,98.75776397515527,62.893081761006286,Fraser River | RKM 280-290
Fraser River,290-300,180,164,179,50,98.5,99.44444444444444,27.932960893854748,Fraser River | RKM 290-300
Fraser River,30-40,4254,3791,4234,608,112.0,99.529854254819,14.359943316013227,Fraser River | RKM 30-40
Fraser River,300-310,281,246,280,168,172.5,99.644128113879,60.0,Fraser River | RKM 300-310
Fraser River,310-320,609,536,605,234,129.0,99.3431855500821,38.67768595041322,Fraser River | RKM 310-320
Fraser River,320-330,1483,1092,1478,1029,180.0,99.66284558327713,69.62110960757781,Fraser River | RKM 320-330
Fraser River,330-340,2640,1740,2626,1773,174.0,99.46969696969697,67.51713632901752,Fraser River | RKM 330-340
Fraser River,340-350,2,2,2,1,150.0,100.0,50.0,Fraser River | RKM 340-350
Fraser River,350-360,3,3,3,0,60.5,100.0,0.0,Fraser River | RKM 350-360
Fraser River,360-370,12,12,12,1,82.25,100.0,8.333333333333332,Fraser River | RKM 360-370
Fraser River,390-400,8,8,8,1,87.25,100.0,12.5,Fraser River | RKM 390-400
Fraser River,40-50,2006,1853,2002,505,121.0,99.80059820538385,25.224775224775225,Fraser River | RKM 40-50
Fraser River,400-410,54,52,54,5,86.85,100.0,9.25925925925926,Fraser River | RKM 400-410
Fraser River,410-420,8,8,8,0,71.75,100.0,0.0,Fraser River | RKM 410-420
Fraser River,420-430,23,23,23,1,72.0,100.0,4.3478260869565215,Fraser River | RKM 420-430
Fraser River,430-440,43,42,37,2,63.0,86.04651162790698,5.405405405405405,Fraser River | RKM 430-440
Fraser River,440-450,4,4,4,0,63.5,100.0,0.0,Fraser River | RKM 440-450
Fraser River,450-460,16,16,16,0,68.5,100.0,0.0,Fraser River | RKM 450-460
Fraser River,460-470,10,10,9,3,98.0,90.0,33.33333333333333,Fraser River | RKM 460-470
Fraser River,470-480,147,135,147,25,103.0,100.0,17.006802721088434,Fraser River | RKM 470-480
Fraser River,480-490,40,36,40,5,112.25,100.0,12.5,Fraser River | RKM 480-490
Fraser River,490-500,36,36,35,12,118.5,97.22222222222221,34.285714285714285,Fraser River | RKM 490-500
Fraser River,50-60,9345,7637,9111,1256,107.0,97.4959871589085,13.785533969926462,Fraser River | RKM 50-60
Fraser River,500-510,32,29,32,8,111.5,100.0,25.0,Fraser River | RKM 500-510
Fraser River,510-520,16,16,16,3,126.0,100.0,18.75,Fraser River | RKM 510-520
Fraser River,520-530,30,26,29,6,118.5,96.66666666666667,20.689655172413794,Fraser River | RKM 520-530
Fraser River,530-540,80,66,78,43,162.5,97.5,55.12820512820513,Fraser River | RKM 530-540
Fraser River,540-550,243,162,238,134,163.5,97.94238683127571,56.30252100840336,Fraser River | RKM 540-550
Fraser River,550-560,280,184,276,121,139.25,98.57142857142858,43.84057971014493,Fraser River | RKM 550-560
Fraser River,560-570,1,1,1,0,47.0,100.0,0.0,Fraser River | RKM 560-570
Fraser River,580-590,2,2,2,0,44.75,100.0,0.0,Fraser River | RKM 580-590
Fraser River,590-600,3,3,3,0,41.5,100.0,0.0,Fraser River | RKM 590-600
Fraser River,60-70,10562,8693,10536,2269,112.0,99.75383450104147,21.53568716780562,Fraser River | RKM 60-70
Fraser River,600-610,3,3,3,1,92.5,100.0,33.33333333333333,Fraser River | RKM 600-610
Fraser River,610-620,5,5,5,0,43.5,100.0,0.0,Fraser River | RKM 610-620
Fraser River,650-660,12,12,12,0,46.75,100.0,0.0,Fraser River | RKM 650-660
Fraser River,660-670,1,1,1,0,86.0,100.0,0.0,Fraser River | RKM 660-670
Fraser River,670-680,98,79,97,54,157.0,98.9795918367347,55.670103092783506,Fraser River | RKM 670-680
Fraser River,680-690,21,20,21,0,42.5,100.0,0.0,Fraser River | RKM 680-690
Fraser River,690-700,11,11,11,0,47.6,100.0,0.0,Fraser River | RKM 690-700
Fraser River,70-80,14918,12243,14874,2135,95.0,99.70505429682262,14.35390614495092,Fraser River | RKM 70-80
Fraser River,700-710,4,3,4,1,133.0,100.0,25.0,Fraser River | RKM 700-710
Fraser River,750-760,7,7,7,0,45.5,100.0,0.0,Fraser River | RKM 750-760
Fraser River,760-770,21,20,21,2,46.7,100.0,9.523809523809524,Fraser River | RKM 760-770
Fraser River,790-800,1,1,1,0,117.0,100.0,0.0,Fraser River | RKM 790-800
Fraser River,80-90,27896,21439,27778,6032,103.0,99.57700028677947,21.71502627978976,Fraser River | RKM 80-90
Fraser River,800-810,2,2,2,0,64.05,100.0,0.0,Fraser River | RKM 800-810
Fraser River,810-820,14,13,14,2,86.45,100.0,14.285714285714285,Fraser River | RKM 810-820
Fraser River,820-830,16,16,15,1,64.0,93.75,6.666666666666667,Fraser River | RKM 820-830
Fraser River,830-840,66,44,65,5,72.5,98.48484848484848,7.6923076923076925,Fraser River | RKM 830-840
Fraser River,850-860,2,2,2,0,60.5,100.0,0.0,Fraser River | RKM 850-860
Fraser River,860-870,9,8,8,1,62.0,88.88888888888889,12.5,Fraser River | RKM 860-870
Fraser River,870-880,6,6,6,0,73.75,100.0,0.0,Fraser River | RKM 870-880
Fraser River,880-890,28,26,27,3,106.0,96.42857142857143,11.11111111111111,Fraser River | RKM 880-890
Fraser River,890-900,17,15,17,5,107.9,100.0,29.411764705882355,Fraser River | RKM 890-900
Fraser River,90-100,29708,20296,29574,6605,110.0,99.54894304564426,22.333806722120784,Fraser River | RKM 90-100
Fraser River,900-910,10,10,10,5,124.15,100.0,50.0,Fraser River | RKM 900-910
Fraser River,910-920,4,4,4,0,117.5,100.0,0.0,Fraser River | RKM 910-920
Fraser River,920-930,10,9,10,1,119.0,100.0,10.0,Fraser River | RKM 920-930
Fraser River,930-940,3,3,3,0,87.5,100.0,0.0,Fraser River | RKM 930-940
Fraser River,940-950,6,6,6,0,85.25,100.0,0.0,Fraser River | RKM 940-950
Fraser River,950-960,202,164,200,9,60.8,99.00990099009901,4.5,Fraser River | RKM 950-960
Fraser River,960-970,2,2,2,0,90.0,100.0,0.0,Fraser River | RKM 960-970
Fraser River,970-980,4,4,4,0,91.5,100.0,0.0,Fraser River | RKM 970-980
Fraser River,980-990,2,2,2,0,93.75,100.0,0.0,Fraser River | RKM 980-990
Fraser River,990-1000,8,8,8,2,84.25,100.0,25.0,Fraser River | RKM 990-1000
Fraser River,,227,225,224,65,109.0,98.6784140969163,29.017857142857146,Fraser River | RKM nan
Harrison Lake,20-30,14,14,14,10,170.5,100.0,71.42857142857143,Harrison Lake | RKM 20-30
Harrison River,0-10,8493,4613,8440,4675,154.0,99.37595667019899,55.39099526066351,Harrison River | RKM 0-10
Harrison River,10-20,4299,2421,4285,2485,157.0,99.67434287043498,57.992998833138856,Harrison River | RKM 10-20
McGregor River,0-10,2,1,2,0,52.0,100.0,0.0,McGregor River | RKM 0-10
Nechako River,0-10,8,8,8,4,142.5,100.0,50.0,Nechako River | RKM 0-10
Nechako River,100-110,211,209,51,7,53.2,24.170616113744074,13.725490196078432,Nechako River | RKM 100-110
Nechako River,110-120,1155,921,935,297,67.0,80.95238095238095,31.76470588235294,Nechako River | RKM 110-120
Nechako River,120-130,735,692,283,103,125.0,38.50340136054422,36.39575971731448,Nechako River | RKM 120-130
Nechako River,130-140,442,429,157,77,141.4,35.52036199095023,49.044585987261144,Nechako River | RKM 130-140
Nechako River,140-150,10,10,0,0,,0.0,nan,Nechako River | RKM 140-150
Nechako River,160-170,13,13,0,0,,0.0,nan,Nechako River | RKM 160-170
Nechako River,170-180,3,3,3,1,73.0,100.0,33.33333333333333,Nechako River | RKM 170-180
Nechako River,190-200,57,56,11,0,67.5,19.298245614035086,0.0,Nechako River | RKM 190-200
Nechako River,20-30,1,1,1,0,37.5,100.0,0.0,Nechako River | RKM 20-30
Nechako River,200-210,6,6,0,0,,0.0,nan,Nechako River | RKM 200-210
Nechako River,210-220,1,1,0,0,,0.0,nan,Nechako River | RKM 210-220
Nechako River,60-70,14,14,14,6,146.75,100.0,42.857142857142854,Nechako River | RKM 60-70
Nechako River,70-80,25,20,25,6,54.0,100.0,24.0,Nechako River | RKM 70-80
Nechako River,80-90,5,5,5,0,69.2,100.0,0.0,Nechako River | RKM 80-90
Nechako River,90-100,50,49,50,18,128.75,100.0,36.0,Nechako River | RKM 90-100
Nechako River,,13,13,13,3,138.5,100.0,23.076923076923077,Nechako River | RKM nan
Pitt River,0-10,1014,939,1011,167,117.0,99.70414201183432,16.51829871414441,Pitt River | RKM 0-10
Pitt River,10-20,1528,1318,1523,106,85.0,99.67277486910994,6.959947472094551,Pitt River | RKM 10-20
Pitt River,20-30,12,11,12,1,118.0,100.0,8.333333333333332,Pitt River | RKM 20-30
Pitt River,30-40,9,9,9,1,137.0,100.0,11.11111111111111,Pitt River | RKM 30-40
Pitt River,40-50,81,78,81,32,140.0,100.0,39.50617283950617,Pitt River | RKM 40-50
Stuart Lake,,27,25,27,26,198.0,100.0,96.29629629629629,Stuart Lake | RKM nan
Stuart River,40-50,3,3,3,2,191.0,100.0,66.66666666666666,Stuart River | RKM 40-50
Stuart River,50-60,1,1,1,0,147.0,100.0,0.0,Stuart River | RKM 50-60
Stuart River,,2,2,2,2,156.5,100.0,100.0,Stuart River | RKM nan
Trembleur Lake,,3,3,3,3,206.0,100.0,100.0,Trembleur Lake | RKM nan
