waterbody,rkm_round,encounters,unique_fish,fork_complete,large_count,median_fork_length,fork_complete_percent,large_share_percent,location,held_out_encounters,held_out_observed_large_percent,logistic_mean_probability_percent
Fraser River,320-330,1483,1092,1478,1029,180.0,99.66284558327713,69.62110960757781,Fraser River | RKM 320-330,328,72.2560975609756,69.65811086910311
Fraser River,140-150,2584,1839,2582,1792,179.0,99.92260061919505,69.40356312935708,Fraser River | RKM 140-150,487,67.76180698151951,69.05345313008051
Fraser River,330-340,2640,1740,2626,1773,174.0,99.46969696969697,67.51713632901752,Fraser River | RKM 330-340,566,68.19787985865725,67.09283906261595
Harrison River,10-20,4299,2421,4285,2485,157.0,99.67434287043498,57.992998833138856,Harrison River | RKM 10-20,889,58.94263217097863,58.1619523882438
Fraser River,150-160,1772,1320,1766,1018,161.0,99.66139954853274,57.644394110985274,Fraser River | RKM 150-160,361,59.83379501385041,57.47228814921035
Harrison River,0-10,8493,4613,8440,4675,154.0,99.37595667019899,55.39099526066351,Harrison River | RKM 0-10,1711,56.165984804208065,55.30618887717521
Fraser River,130-140,2586,1992,2573,1400,156.0,99.49729311678269,54.41119315973572,Fraser River | RKM 130-140,518,59.26640926640927,52.39571612395256
Fraser River,160-170,3322,2129,3303,1516,142.0,99.42805538832029,45.89766878595217,Fraser River | RKM 160-170,667,44.677661169415295,46.98749091042786
Fraser River,120-130,4594,3480,4579,2000,141.0,99.67348715716152,43.67765887748416,Fraser River | RKM 120-130,870,44.59770114942529,43.446302970841785
Fraser River,110-120,11188,7747,11152,4296,135.0,99.67822667143368,38.5222381635581,Fraser River | RKM 110-120,2239,41.26842340330505,37.85967185302108
Fraser River,170-180,2858,1839,2848,1069,127.0,99.65010496850944,37.53511235955056,Fraser River | RKM 170-180,585,36.41025641025641,37.572730887460324
Fraser River,310-320,609,536,605,234,129.0,99.3431855500821,38.67768595041322,Fraser River | RKM 310-320,115,45.21739130434783,36.19852639286517
Fraser River,180-190,2888,1871,2879,1015,125.0,99.68836565096953,35.2552969781174,Fraser River | RKM 180-190,592,34.7972972972973,34.641480145572515
Fraser River,100-110,12746,8773,12685,4286,129.0,99.52141848423035,33.78793851005124,Fraser River | RKM 100-110,2490,33.4136546184739,34.132964896139576
Nechako River,110-120,1155,921,935,297,67.0,80.95238095238095,31.76470588235294,Nechako River | RKM 110-120,180,29.444444444444446,32.4053951190192
Fraser River,40-50,2006,1853,2002,505,121.0,99.80059820538385,25.224775224775225,Fraser River | RKM 40-50,414,24.879227053140095,25.0319042659788
Fraser River,0-10,890,753,882,186,112.0,99.10112359550561,21.08843537414966,Fraser River | RKM 0-10,164,20.121951219512198,22.100890281334753
Fraser River,90-100,29708,20296,29574,6605,110.0,99.54894304564426,22.333806722120784,Fraser River | RKM 90-100,5905,23.674851820491106,22.028776278247992
Fraser River,80-90,27896,21439,27778,6032,103.0,99.57700028677947,21.71502627978976,Fraser River | RKM 80-90,5551,21.978021978021978,21.78861980853394
Fraser River,60-70,10562,8693,10536,2269,112.0,99.75383450104147,21.53568716780562,Fraser River | RKM 60-70,2140,23.271028037383175,21.281060807092103
Pitt River,0-10,1014,939,1011,167,117.0,99.70414201183432,16.51829871414441,Pitt River | RKM 0-10,200,18.5,16.325515749062916
Fraser River,30-40,4254,3791,4234,608,112.0,99.529854254819,14.359943316013227,Fraser River | RKM 30-40,793,17.402269861286253,14.169239097884903
Fraser River,70-80,14918,12243,14874,2135,95.0,99.70505429682262,14.35390614495092,Fraser River | RKM 70-80,2951,14.876313114198577,14.147245307522988
Fraser River,50-60,9345,7637,9111,1256,107.0,97.4959871589085,13.785533969926462,Fraser River | RKM 50-60,2015,13.697270471464021,14.089508868770736
Fraser River,10-20,1120,1080,1114,141,103.0,99.46428571428572,12.657091561938957,Fraser River | RKM 10-20,202,11.386138613861387,13.475550876606206
Fraser River,20-30,5309,4548,5295,456,96.5,99.73629685439819,8.611898016997168,Fraser River | RKM 20-30,1080,8.518518518518519,8.58364855075342
Pitt River,10-20,1528,1318,1523,106,85.0,99.67277486910994,6.959947472094551,Pitt River | RKM 10-20,322,5.900621118012422,7.138961945346865
